3.4769 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.4099 	EXP 	Created Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.4153 	EXP 	Created Text_Trial = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text_Trial', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.4205 	EXP 	Imported Instructions.xlsx as conditions, 3 conditions, 1 params
4.4209 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.4214 	EXP 	New trial (rep=0, index=0): {u'text': u'You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.'}
4.4935 	EXP 	TextStim: autoLog = None
4.4935 	EXP 	TextStim: autoLog = None
4.4935 	EXP 	Set Text text=You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.
4.4935 	EXP 	TextStim: pos = None
4.4935 	EXP 	Set Text pos=[ 0.  0.]
4.4935 	EXP 	TextStim: autoDraw = None
6.0197 	DATA 	Keypress: return
6.0203 	EXP 	New trial (rep=0, index=1): {u'text': u'Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.'}
6.0996 	EXP 	TextStim: autoDraw = None
6.0996 	EXP 	Set Text text=Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.
6.0996 	EXP 	TextStim: pos = None
6.0996 	EXP 	Set Text pos=[ 0.  0.]
6.0996 	EXP 	TextStim: autoDraw = None
6.8654 	DATA 	Keypress: return
6.8659 	EXP 	New trial (rep=0, index=2): {u'text': u'Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.'}
6.9253 	EXP 	TextStim: autoDraw = None
6.9253 	EXP 	Set Text text=Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.
6.9253 	EXP 	TextStim: pos = None
6.9253 	EXP 	Set Text pos=[ 0.  0.]
6.9253 	EXP 	TextStim: autoDraw = None
7.3487 	DATA 	Keypress: return
7.3584 	EXP 	Imported Practice.xlsx as conditions, 6 conditions, 2 params
7.3594 	EXP 	Created sequence: sequential, trialTypes=6, nReps=1, seed=None
7.3607 	EXP 	New trial (rep=0, index=0): {u'text2': u'Here', u'text1': u'Here'}
7.3887 	EXP 	TextStim: autoDraw = None
7.3887 	EXP 	Set Text_Trial text=Here
7.3887 	EXP 	TextStim: pos = None
7.3887 	EXP 	Set Text_Trial pos=[ 0.  0.]
7.3887 	EXP 	TextStim: autoDraw = None
8.8593 	EXP 	New trial (rep=0, index=1): {u'text2': u'is', u'text1': u'is'}
8.8787 	EXP 	TextStim: autoDraw = None
8.8787 	EXP 	Set Text_Trial text=is
8.8787 	EXP 	TextStim: pos = None
8.8787 	EXP 	Set Text_Trial pos=[ 0.  0.]
8.8787 	EXP 	TextStim: autoDraw = None
10.3490 	EXP 	New trial (rep=0, index=2): {u'text2': u'another', u'text1': u'a'}
10.3688 	EXP 	TextStim: autoDraw = None
10.3688 	EXP 	TextStim: autoDraw = None
10.3688 	EXP 	Set Text_Trial text=a
10.3688 	EXP 	TextStim: pos = None
10.3688 	EXP 	Set Text_Trial pos=[ 0.  0.]
10.3688 	EXP 	TextStim: autoDraw = None
11.8393 	EXP 	New trial (rep=0, index=3): {u'text2': u'practice', u'text1': u'practice'}
11.8586 	EXP 	TextStim: autoDraw = None
11.8586 	EXP 	TextStim: autoDraw = None
11.8586 	EXP 	Set Text_Trial text=practice
11.8586 	EXP 	TextStim: pos = None
11.8586 	EXP 	Set Text_Trial pos=[ 0.  0.]
11.8586 	EXP 	TextStim: autoDraw = None
13.3294 	EXP 	New trial (rep=0, index=4): {u'text2': u'trial', u'text1': u'trial'}
13.3490 	EXP 	TextStim: autoDraw = None
13.3490 	EXP 	TextStim: autoDraw = None
13.3490 	EXP 	Set Text_Trial text=trial
13.3490 	EXP 	TextStim: pos = None
13.3490 	EXP 	Set Text_Trial pos=[ 0.  0.]
13.3490 	EXP 	TextStim: autoDraw = None
14.8191 	EXP 	New trial (rep=0, index=5): {u'text2': u'thing!', u'text1': None}
14.8388 	EXP 	TextStim: autoDraw = None
14.8388 	EXP 	TextStim: autoDraw = None
14.8388 	EXP 	Set Text_Trial text=trial
14.8388 	EXP 	TextStim: pos = None
14.8388 	EXP 	Set Text_Trial pos=[ 0.  0.]
14.8388 	EXP 	TextStim: autoDraw = None
