text,clear_01csv,words,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,arguments_data.thisRepN,arguments_data.thisTrialN,arguments_data.thisN,arguments_data.thisIndex,word_data.thisRepN,word_data.thisTrialN,word_data.thisN,word_data.thisIndex,date,frameRate,expName,session,participant,
Instructions 1!,,,0,0,0,0,,,,,,,,,2014_Sep_15_0215,49.961690386,Arguments,001,999,
Instructions 2!,,,0,1,1,1,,,,,,,,,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\clear_this.jpg",,,,,0,0,0,0,0,0,0,0,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\clear_is.jpg",,,,,0,0,0,0,0,1,1,1,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\clear_the.jpg",,,,,0,0,0,0,0,2,2,2,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\clear_clear.jpg",,,,,0,0,0,0,0,3,3,3,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\clear_argument.jpg",,,,,0,0,0,0,0,4,4,4,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv",,,,,,0,0,0,0,,,,,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\messy_this.jpg",,,,,1,0,1,0,0,0,0,0,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\messy_is.jpg",,,,,1,0,1,0,0,1,1,1,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\messy_the.jpg",,,,,1,0,1,0,0,2,2,2,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\messy_messy.jpg",,,,,1,0,1,0,0,3,3,3,2014_Sep_15_0215,49.961690386,Arguments,001,999,
,"messy_01.csv","words\messy_argument.jpg",,,,,1,0,1,0,0,4,4,4,2014_Sep_15_0215,49.961690386,Arguments,001,999,
