4.0173 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.9302 	EXP 	Created Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=4, italic=False, name='Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.9352 	EXP 	Imported Instructions.xlsx as conditions, 3 conditions, 1 params
4.9356 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.9362 	EXP 	New trial (rep=0, index=0): {u'text': u'You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.'}
4.9902 	EXP 	TextStim: autoLog = None
4.9902 	EXP 	Set Text text=You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.
4.9902 	EXP 	TextStim: pos = None
4.9902 	EXP 	Set Text pos=[ 0.  0.]
4.9902 	EXP 	TextStim: autoDraw = None
6.6978 	DATA 	Keypress: return
6.6983 	EXP 	New trial (rep=0, index=1): {u'text': u'Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.'}
6.7783 	EXP 	TextStim: autoDraw = None
6.7783 	EXP 	Set Text text=Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.
6.7783 	EXP 	TextStim: pos = None
6.7783 	EXP 	Set Text pos=[ 0.  0.]
6.7783 	EXP 	TextStim: autoDraw = None
7.2831 	DATA 	Keypress: return
7.3025 	EXP 	New trial (rep=0, index=2): {u'text': u'Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.'}
7.3622 	EXP 	TextStim: autoDraw = None
7.3622 	EXP 	Set Text text=Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.
7.3622 	EXP 	TextStim: pos = None
7.3622 	EXP 	Set Text pos=[ 0.  0.]
7.3622 	EXP 	TextStim: autoDraw = None
7.7649 	DATA 	Keypress: return
