4.2422 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
5.1847 	EXP 	Created Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
5.1902 	EXP 	Created Text_Trial = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text_Trial', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
5.1958 	EXP 	Created Reply_Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Reply_Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
5.2008 	EXP 	Imported Instructions.xlsx as conditions, 3 conditions, 1 params
5.2012 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
5.2019 	EXP 	New trial (rep=0, index=0): {u'text': u'You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.'}
5.2735 	EXP 	TextStim: autoLog = None
5.2735 	EXP 	TextStim: autoLog = None
5.2735 	EXP 	TextStim: autoLog = None
5.2735 	EXP 	Set Text text=You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.
5.2735 	EXP 	TextStim: pos = None
5.2735 	EXP 	Set Text pos=[ 0.  0.]
5.2735 	EXP 	TextStim: autoDraw = None
5.6536 	DATA 	Keypress: space
5.9552 	DATA 	Keypress: return
5.9556 	EXP 	New trial (rep=0, index=1): {u'text': u'Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.'}
6.0358 	EXP 	TextStim: autoDraw = None
6.0358 	EXP 	Set Text text=Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.
6.0358 	EXP 	TextStim: pos = None
6.0358 	EXP 	Set Text pos=[ 0.  0.]
6.0358 	EXP 	TextStim: autoDraw = None
6.1380 	DATA 	Keypress: return
6.1570 	EXP 	New trial (rep=0, index=2): {u'text': u'Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.'}
6.1970 	EXP 	TextStim: autoDraw = None
6.1970 	EXP 	Set Text text=Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.
6.1970 	EXP 	TextStim: pos = None
6.1970 	EXP 	Set Text pos=[ 0.  0.]
6.1970 	EXP 	TextStim: autoDraw = None
6.2977 	DATA 	Keypress: return
6.2987 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
6.3000 	EXP 	New trial (rep=0, index=0): None
6.3058 	EXP 	Imported Practice.xlsx as conditions, 6 conditions, 2 params
6.3062 	EXP 	Created sequence: sequential, trialTypes=6, nReps=1, seed=None
6.3068 	EXP 	New trial (rep=0, index=0): {u'text2': u'Here', u'text1': u'Here'}
6.3379 	EXP 	TextStim: autoDraw = None
6.3379 	EXP 	Set Text_Trial text=textcol

6.3379 	EXP 	TextStim: pos = None
6.3379 	EXP 	Set Text_Trial pos=[ 0.  0.]
6.3379 	EXP 	TextStim: autoDraw = None
7.6065 	DATA 	Keypress: return
7.8085 	EXP 	New trial (rep=0, index=1): {u'text2': u'is', u'text1': u'is'}
7.8278 	EXP 	TextStim: autoDraw = None
7.8278 	EXP 	Set Text_Trial text=textcol

7.8278 	EXP 	TextStim: pos = None
7.8278 	EXP 	Set Text_Trial pos=[ 0.  0.]
7.8278 	EXP 	TextStim: autoDraw = None
9.2984 	EXP 	New trial (rep=0, index=2): {u'text2': u'another', u'text1': u'a'}
9.3180 	EXP 	TextStim: autoDraw = None
9.3180 	EXP 	TextStim: autoDraw = None
9.3180 	EXP 	Set Text_Trial text=textcol

9.3180 	EXP 	TextStim: pos = None
9.3180 	EXP 	Set Text_Trial pos=[ 0.  0.]
9.3180 	EXP 	TextStim: autoDraw = None
10.0238 	DATA 	Keypress: escape
