3.2709 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.1982 	EXP 	Created Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.2037 	EXP 	Created Text_Trial = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text_Trial', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.2094 	EXP 	Created Reply_Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Reply_Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.2143 	EXP 	Imported Instructions.xlsx as conditions, 3 conditions, 1 params
4.2147 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.2154 	EXP 	New trial (rep=0, index=0): {u'text': u'You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.'}
4.2586 	DATA 	Keypress: return
4.2837 	EXP 	TextStim: autoLog = None
4.2837 	EXP 	TextStim: autoLog = None
4.2837 	EXP 	TextStim: autoLog = None
4.2837 	EXP 	Set Text text=You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.
4.2837 	EXP 	TextStim: pos = None
4.2837 	EXP 	Set Text pos=[ 0.  0.]
4.2837 	EXP 	TextStim: autoDraw = None
4.5229 	DATA 	Keypress: return
4.5234 	EXP 	New trial (rep=0, index=1): {u'text': u'Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.'}
4.6032 	EXP 	TextStim: autoDraw = None
4.6032 	EXP 	Set Text text=Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.
4.6032 	EXP 	TextStim: pos = None
4.6032 	EXP 	Set Text pos=[ 0.  0.]
4.6032 	EXP 	TextStim: autoDraw = None
4.7039 	DATA 	Keypress: return
4.7044 	EXP 	New trial (rep=0, index=2): {u'text': u'Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.'}
4.7440 	EXP 	TextStim: autoDraw = None
4.7440 	EXP 	Set Text text=Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.
4.7440 	EXP 	TextStim: pos = None
4.7440 	EXP 	Set Text pos=[ 0.  0.]
4.7440 	EXP 	TextStim: autoDraw = None
5.1270 	DATA 	Keypress: return
5.1299 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
5.1307 	EXP 	New trial (rep=0, index=0): None
5.1360 	EXP 	Imported Practice.xlsx as conditions, 6 conditions, 2 params
5.1365 	EXP 	Created sequence: sequential, trialTypes=6, nReps=1, seed=None
5.1374 	EXP 	New trial (rep=0, index=0): {u'text2': u'Here', u'text1': u'Here'}
